Account,ATMID,caldate,Dispense,DT,MaxCapacity,CountTotalTxn
ABC,SPCN02020,01-01-2021,564500,0,2640000,157
ABC,TPCN10269,01-01-2021,509000,9,3520000,92
ABC,APCN00816,01-01-2021,64800,0,2640000,36
PQR,S1CN1142,01-01-2021,834500,0,3520000,101
PQR,S1CN2022,01-01-2021,825700,0,2860000,364
PQR,SPCND067,01-01-2021,643000,11,3520000,121
ABC,APAN11109,01-01-2021,106500,13,3520000,56
ABC,APAN23217,01-01-2021,420100,3,3740000,123
PQR,SPCNG376,01-01-2021,476500,94,3520000,127
PQR,S1CN3514,01-01-2021,359500,0,3520000,145
PQR,S1CN2820,01-01-2021,239500,344,3520000,88
ABC,APAN22403,01-01-2021,0,18,2420000,14
ABC,APAN35706,01-01-2021,27000,0,2860000,5
XYZ,T1NY000166081,01-01-2021,1157300,0,3520000,198
ABC,SPCN02020,02-01-2021,519200,4,2640000,130
ABC,TPCN10269,02-01-2021,679500,5,3520000,108
ABC,APCN00816,02-01-2021,125400,0,2640000,50
PQR,S1CN1142,02-01-2021,178000,17,3520000,28
PQR,S1CN2022,02-01-2021,1344100,16,2860000,312
PQR,SPCND067,02-01-2021,1084000,10,3520000,166
ABC,APAN11109,02-01-2021,112500,829,3520000,51
ABC,APAN23217,02-01-2021,577300,3,3740000,131
PQR,SPCNG376,02-01-2021,0,1298,3520000,0
PQR,S1CN3514,02-01-2021,423500,0,3520000,105
PQR,S1CN2820,02-01-2021,132300,248,3520000,66
ABC,APAN22403,02-01-2021,277100,10,2420000,52
ABC,APAN35706,02-01-2021,29500,0,2860000,6
XYZ,T1NY000166081,02-01-2021,1578400,0,3520000,264
ABC,SPCN02020,03-01-2021,444600,0,2640000,128
ABC,TPCN10269,03-01-2021,799500,0,3520000,143
ABC,APCN00816,03-01-2021,11800,0,2640000,8
PQR,S1CN1142,03-01-2021,608500,0,3520000,56
PQR,S1CN2022,03-01-2021,1149700,0,2860000,443
PQR,SPCND067,03-01-2021,605500,0,3520000,131
ABC,APAN11109,03-01-2021,0,1440,3520000,12
ABC,APAN23217,03-01-2021,654700,0,3740000,126
PQR,SPCNG376,03-01-2021,0,1440,3520000,0
PQR,S1CN3514,03-01-2021,319000,0,3520000,104
PQR,S1CN2820,03-01-2021,799900,0,3520000,230
